Modelo,Tratamiento,Normal,Loss,Loss1,Loss2,Percentil,Accuracy,F1-Score,Precision,AUC-ROC,Recall
Model2,ELIMINACION,MINMAX,mae,MSE,MSE,99,0.994412564180006,0.9476661951909477,0.9178082191780822,0.9873775468394977,0.97953216374269
Model3,ELIMINACION,MINMAX,mae,MSE,MSE,99,0.9942615524010873,0.9463276836158193,0.9153005464480874,0.9872979290051029,0.97953216374269
Model4,ELIMINACION,MINMAX,mae,MSE,MSE,99,0.993808517064331,0.9426573426573427,0.903485254691689,0.9898238164413156,0.9853801169590644
Model1,ELIMINACION,ROBUST,mse,MAE,MAE,99.9,0.9951676230745998,0.951951951951952,0.9783950617283951,0.9628929675568966,0.9269005847953217
Model2,ELIMINACION,ROBUST,mse,MAE,MAE,99.9,0.9963757173059499,0.963855421686747,0.9937888198757764,0.9676770216411517,0.935672514619883
Model3,ELIMINACION,ROBUST,mse,MAE,MAE,99.9,0.9968287526427061,0.9687034277198212,0.9878419452887538,0.9748277274928296,0.9502923976608187
Model4,ELIMINACION,ROBUST,mse,MAE,MAE,99.9,0.9980368468740561,0.9807976366322009,0.991044776119403,0.9851412634558797,0.9707602339181286
Model1,ELIMINACION,ROBUST,mse,MAE,MAE,99.5,0.9936575052854123,0.94,0.9189944134078212,0.9786852348493313,0.9619883040935673
Model2,ELIMINACION,ROBUST,mse,MAE,MAE,99.5,0.9968287526427061,0.9692532942898975,0.9706744868035191,0.9831219503110217,0.9678362573099415
Model3,ELIMINACION,ROBUST,mse,MAE,MAE,99.5,0.9966777408637874,0.9681159420289854,0.9597701149425287,0.9871894438857227,0.9766081871345029
Model4,ELIMINACION,ROBUST,mse,MAE,MAE,99.5,0.9984898822108125,0.9855072463768115,0.9770114942528736,0.9964390807166535,0.9941520467836257
Model1,ELIMINACION,ROBUST,mse,MAE,MAE,99,0.9898822108124433,0.9078404401650618,0.8571428571428571,0.9780771594591574,0.9649122807017544
Model2,ELIMINACION,ROBUST,mse,MAE,MAE,99,0.9948655995167623,0.952112676056338,0.9184782608695652,0.9917635117517786,0.9883040935672515
Model3,ELIMINACION,ROBUST,mse,MAE,MAE,99,0.9942615524010873,0.946927374301676,0.9064171122994652,0.9928274108838977,0.9912280701754386
Model4,ELIMINACION,ROBUST,mse,MAE,MAE,99,0.9960736937481124,0.9633802816901409,0.9293478260869565,0.9979299363057325,1.0
Model1,ELIMINACION,ROBUST,mse,MSE,MSE,99.9,0.9969797644216248,0.9704142011834319,0.9820359281437125,0.9790544567363205,0.9590643274853801
Model2,ELIMINACION,ROBUST,mse,MSE,MSE,99.9,0.9960736937481124,0.9608433734939759,0.9906832298136646,0.9661354155026632,0.9327485380116959
Model3,ELIMINACION,ROBUST,mse,MSE,MSE,99.9,0.9974327997583812,0.9748892171344165,0.9850746268656716,0.9820580511789025,0.9649122807017544
Model4,ELIMINACION,ROBUST,mse,MSE,MSE,99.9,0.9986408939897312,0.9867841409691629,0.9911504424778761,0.9909892166722539,0.9824561403508771
Model1,ELIMINACION,ROBUST,mse,MSE,MSE,99.5,0.995620658411356,0.9583931133428982,0.9408450704225352,0.9866321190449585,0.9766081871345029
Model2,ELIMINACION,ROBUST,mse,MSE,MSE,99.5,0.9968287526427061,0.9693430656934306,0.967930029154519,0.9845043207807205,0.9707602339181286
Model3,ELIMINACION,ROBUST,mse,MSE,MSE,99.5,0.9959226819691936,0.9611510791366906,0.9461756373937678,0.9867913547137482,0.9766081871345029
Model4,ELIMINACION,ROBUST,mse,MSE,MSE,99.5,0.9983388704318937,0.9840348330914369,0.9769452449567724,0.99497709241256,0.9912280701754386
Model1,ELIMINACION,ROBUST,mse,MSE,MSE,99,0.9935064935064936,0.9408528198074277,0.8883116883116883,0.9965764331210192,1.0
Model2,ELIMINACION,ROBUST,mse,MSE,MSE,99,0.9953186348535186,0.9566433566433566,0.9168900804289544,0.997531847133758,1.0
Model3,ELIMINACION,ROBUST,mse,MSE,MSE,99,0.9927514346118997,0.9342465753424658,0.8788659793814433,0.9947959734793459,0.9970760233918129
Model4,ELIMINACION,ROBUST,mse,MSE,MSE,99,0.9963757173059499,0.9661016949152543,0.9344262295081968,0.9980891719745223,1.0
Model1,ELIMINACION,ROBUST,mae,MAE,MAE,99.9,0.9922983992751434,0.9209302325581395,0.9801980198019802,0.9337328193094201,0.868421052631579
Model2,ELIMINACION,ROBUST,mae,MAE,MAE,99.9,0.9965267290848686,0.9654135338345866,0.9938080495356038,0.9691390099452452,0.9385964912280702
Model3,ELIMINACION,ROBUST,mae,MAE,MAE,99.9,0.9972817879794624,0.9732142857142858,0.990909090909091,0.9778313219354119,0.956140350877193
Model4,ELIMINACION,ROBUST,mae,MAE,MAE,99.9,0.9974327997583812,0.974739970282318,0.9909365558912386,0.9792933102395053,0.9590643274853801
Model1,ELIMINACION,ROBUST,mae,MAE,MAE,99.5,0.9916943521594684,0.9182763744427934,0.9335347432024169,0.9500027936082243,0.9035087719298246
Model2,ELIMINACION,ROBUST,mae,MAE,MAE,99.5,0.9969797644216248,0.9705882352941176,0.9763313609467456,0.9818191976757179,0.9649122807017544
Model3,ELIMINACION,ROBUST,mae,MAE,MAE,99.5,0.9974327997583812,0.9753265602322205,0.968299711815562,0.9903522739970947,0.9824561403508771
Model4,ELIMINACION,ROBUST,mae,MAE,MAE,99.5,0.9978858350951374,0.9796511627906977,0.9739884393063584,0.991973497969978,0.9853801169590644
Model1,ELIMINACION,ROBUST,mae,MAE,MAE,99,0.9888251283600121,0.8942857142857144,0.8743016759776536,0.9540195366335159,0.9152046783625731
Model2,ELIMINACION,ROBUST,mae,MAE,MAE,99,0.9950166112956811,0.9534555712270804,0.9209809264305178,0.9918431295861735,0.9883040935672515
Model3,ELIMINACION,ROBUST,mae,MAE,MAE,99,0.9953186348535186,0.9566433566433566,0.9168900804289544,0.997531847133758,1.0
Model4,ELIMINACION,ROBUST,mae,MAE,MAE,99,0.9963757173059499,0.9661016949152543,0.9344262295081968,0.9980891719745223,1.0
Model1,ELIMINACION,ROBUST,mae,MSE,MSE,99.9,0.9930534581697372,0.9294478527607362,0.9774193548387097,0.9424251312995865,0.8859649122807017
